video_title,view_count,like_count,comment_count,channel_name,subscriber_count
Giant Chakra | Diwali Special | ഈ ചക്രം കറങ്ങുമോ | M4 Tech |,267981,11664,305,M4 Tech,13700000
Giant Flower Pot | Diwali Special | ആന മേശപ്പൂ | M4 Tech |,318282,14182,271,M4 Tech,13700000
ഞങ്ങൾക്ക് ഒരു മകൾ ജനിച്ചു | Our First Baby | M4 Tech |,1125747,28505,1274,M4 Tech,13700000
Robo War | Red Vs Blue | Who Will Be The Winner | റോബോട്ടുകൾ തമ്മിലടി | M4 Tech |,582108,13896,341,M4 Tech,13700000
Giant Avoli Fish Grill | ആവോലിമീനെ ചുട്ടത് | M4 Tech |,917272,24545,551,M4 Tech,13700000
ചൂണ്ട ഇടൽ മത്സരം | Red Vs Blue | Fishing Competition | M4 Tech |,1180081,24944,612,M4 Tech,13700000
ഓണം വൈബ് |M4TECH|,127333,3600,75,M4 Tech,13700000
Pookalam In Water | വെള്ളത്തിൽ ആദ്യമായി പൂക്കളം ഇട്ടപ്പോൾ | M4 Tech |,1039636,33392,1052,M4 Tech,13700000
Emma mattress vs extreme quality test | എമ്മ നമ്മൾ ഉദ്ദേശിച്ച ആളല്ല  #shorts,169488,5184,80,M4 Tech,13700000
ചക്ക വെട്ടിപൊളിച് ഐസ്ക്രീം ഉണ്ടാക്കിയാലോ | Jackfruit Ice cream Making With Icespot and Almond Dairy,838974,25816,606,M4 Tech,13700000
ഈന്തങ്ങ പുട്ട് കഴിച്ചിട്ടുണ്ടോ | Cycas Circinalis preparation at Home | M4 Tech |,959863,23942,790,M4 Tech,13700000
Rich And Poor Camping On Island In Water | പണക്കാരും പാവങ്ങളും | M4 Tech |,1764560,36577,1373,M4 Tech,13700000
Emma mattress vs extreme quality test | എമ്മ നമ്മൾ ഉദ്ദേശിച്ച ആളല്ല | M4 Tech |,764505,17658,615,M4 Tech,13700000
Making Aquarium Dining Table | തീൻ മേശയിൽ ഇനി മീനെ കളിപ്പിക്കാം | M4 Tech |,1256738,29526,685,M4 Tech,13700000
Lottery Challenge Thrissur Vs Ernakulam | തൃശൂർ vs എറണാകുളം ആര് ജയിക്കും | M4 Tech |,813514,25393,707,M4 Tech,13700000
Low To High Budget Survival Camping Challenge | Camping പണക്കാരും പാവങ്ങളും | M4 Tech |,2958045,50335,1461,M4 Tech,13700000
Childhood Imagination Comes True | Motorised Boat | ഈ ബോട്ട് പറക്കും | M4 Tech |,906104,27468,704,M4 Tech,13700000
വെള്ള ചാട്ടത്തിൽ ചുട്ട പോത്തിൻ കാൽ  | Giant Beef Leg Recipe | M4 Tech |,1511820,42262,950,M4 Tech,13700000
നനഞ്ഞ ഡയപ്പെർ ഉൾപ്പെടെ മാലിന്യങ്ങൾ ഇനി വലിച്ചെറിയാൻ വരട്ടെ ഇതിൽ എല്ലാം കത്തും | M4 Tech |,460522,11526,196,M4 Tech,13700000
